W1,W2,W3,W4,W5,W6,W7,W8,,B1,B2,B3,B4,B5,B6,B7,B8
0.49,0.471,0.432,0.461,0.452,0.425,0.482,0.474,,0.479,0.463,0.423,0.451,0.447,0.415,0.474,0.466
0.493,0.468,0.435,0.462,0.452,0.422,0.478,0.472,,0.481,0.458,0.42,0.446,0.448,0.414,0.469,0.46
0.492,0.467,0.427,0.458,0.454,0.425,0.479,0.465,,0.479,0.455,0.414,0.443,0.446,0.414,0.466,0.455
0.487,0.463,0.423,0.456,0.456,0.419,0.471,0.466,,0.479,0.452,0.412,0.44,0.446,0.41,0.46,0.455
0.485,0.456,0.415,0.447,0.457,0.422,0.466,0.465,,0.477,0.448,0.408,0.435,0.446,0.411,0.46,0.454
0.48,0.459,0.414,0.443,0.454,0.419,0.466,0.468,,0.474,0.448,0.408,0.435,0.444,0.412,0.458,0.454
0.479,0.454,0.419,0.443,0.451,0.418,0.457,0.46,,0.473,0.445,0.409,0.435,0.439,0.409,0.455,0.451
0.486,0.466,0.428,0.452,0.457,0.415,0.474,0.47,,0.479,0.453,0.417,0.441,0.444,0.406,0.463,0.458
0.492,0.467,0.416,0.452,0.462,0.427,0.478,0.47,,0.484,0.458,0.408,0.444,0.452,0.417,0.469,0.462
0.49,0.472,0.43,0.453,0.461,0.43,0.483,0.473,,0.485,0.467,0.426,0.449,0.453,0.42,0.475,0.467
0.492,0.47,0.433,0.457,0.458,0.43,0.485,0.477,,0.488,0.468,0.433,0.458,0.452,0.423,0.481,0.474
0.488,0.477,0.437,0.446,0.461,0.433,0.471,0.468,,0.482,0.473,0.435,0.444,0.453,0.425,0.466,0.464
0.488,0.476,0.439,0.464,0.458,0.424,0.483,0.473,,0.481,0.466,0.431,0.456,0.449,0.414,0.475,0.466
0.493,0.471,0.428,0.46,0.457,0.427,0.481,0.468,,0.485,0.458,0.414,0.446,0.447,0.415,0.471,0.458
0.49,0.472,0.429,0.457,0.455,0.427,0.477,0.466,,0.483,0.456,0.415,0.441,0.445,0.414,0.467,0.456
0.48,0.466,0.424,0.45,0.452,0.422,0.472,0.471,,0.477,0.452,0.412,0.437,0.446,0.412,0.461,0.457
0.48,0.461,0.418,0.451,0.442,0.411,0.469,0.464,,0.477,0.45,0.408,0.437,0.438,0.398,0.459,0.453
0.483,0.461,0.419,0.444,0.443,0.417,0.473,0.465,,0.474,0.449,0.406,0.433,0.439,0.403,0.46,0.453
0.482,0.465,0.423,0.445,0.445,0.419,0.478,0.466,,0.475,0.449,0.41,0.434,0.441,0.405,0.462,0.454
0.484,0.466,0.428,0.454,0.447,0.419,0.478,0.47,,0.476,0.453,0.414,0.44,0.442,0.406,0.464,0.458
